scenario_id,scenario_name,game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
S2,Primary Care Benefits Schedule,G12,Equity and trust game,hospital_pressure,stakeholder_alignment,-0.3351,0.3351,negative,3.0
S2,Primary Care Benefits Schedule,G12,Equity and trust game,hospital_pressure,copayment_protections,-0.1971,0.1971,negative,4.0
S2,Primary Care Benefits Schedule,G12,Equity and trust game,hospital_pressure,local_inperson_loading,-0.0647,0.0647,negative,5.0
S2,Primary Care Benefits Schedule,G13,Political economy game,hospital_pressure,narrative_coherence,-0.643,0.643,negative,1.0
S2,Primary Care Benefits Schedule,G13,Political economy game,hospital_pressure,stakeholder_alignment,-0.6423,0.6423,negative,2.0
S2,Primary Care Benefits Schedule,G13,Political economy game,hospital_pressure,marginal_contact_benefit,-0.2985,0.2985,negative,3.0
S2,Primary Care Benefits Schedule,G13,Political economy game,hospital_pressure,direct_claiming,0.199,0.199,positive,4.0
S2,Primary Care Benefits Schedule,G13,Political economy game,hospital_pressure,equity_program_strength,-0.1323,0.1323,negative,5.0
S2,Primary Care Benefits Schedule,G14,Data observability game,hospital_pressure,data_observability,-0.9523,0.9523,negative,1.0
S2,Primary Care Benefits Schedule,G14,Data observability game,hospital_pressure,marginal_contact_benefit,-0.2577,0.2577,negative,2.0
S2,Primary Care Benefits Schedule,G14,Data observability game,hospital_pressure,primary_kpi_salience,-0.1414,0.1414,negative,3.0
S2,Primary Care Benefits Schedule,G14,Data observability game,hospital_pressure,telehealth_scale,0.1012,0.1012,positive,4.0
S2,Primary Care Benefits Schedule,G14,Data observability game,hospital_pressure,ambulance_kpi_salience,-0.0773,0.0773,negative,5.0
S2,Primary Care Benefits Schedule,G2,Health NZ internal allocation game,hospital_pressure,marginal_contact_benefit,-0.7035,0.7035,negative,1.0
S2,Primary Care Benefits Schedule,G2,Health NZ internal allocation game,hospital_pressure,primary_kpi_salience,-0.3865,0.3865,negative,2.0
S2,Primary Care Benefits Schedule,G2,Health NZ internal allocation game,hospital_pressure,ambulance_kpi_salience,-0.3174,0.3174,negative,3.0
S2,Primary Care Benefits Schedule,G2,Health NZ internal allocation game,hospital_pressure,ambulance_alternative_funding,-0.3137,0.3137,negative,4.0
S2,Primary Care Benefits Schedule,G2,Health NZ internal allocation game,hospital_pressure,data_observability,-0.2921,0.2921,negative,5.0
S2,Primary Care Benefits Schedule,G3,Capitation marginal-supply game,hospital_pressure,marginal_contact_benefit,-0.8893,0.8893,negative,1.0
S2,Primary Care Benefits Schedule,G3,Capitation marginal-supply game,hospital_pressure,copayment_level,-0.3438,0.3438,negative,2.0
S2,Primary Care Benefits Schedule,G3,Capitation marginal-supply game,hospital_pressure,capitation_weighting,-0.1438,0.1438,negative,3.0
S2,Primary Care Benefits Schedule,G3,Capitation marginal-supply game,hospital_pressure,pho_transaction_cost,0.1341,0.1341,positive,4.0
S2,Primary Care Benefits Schedule,G3,Capitation marginal-supply game,hospital_pressure,budget_tightness,0.099,0.099,positive,5.0
S2,Primary Care Benefits Schedule,G4,Consumer access pathway game,hospital_pressure,copayment_level,0.7264,0.7264,positive,1.0
S2,Primary Care Benefits Schedule,G4,Consumer access pathway game,hospital_pressure,copayment_protections,-0.4525,0.4525,negative,2.0
S2,Primary Care Benefits Schedule,G4,Consumer access pathway game,hospital_pressure,marginal_contact_benefit,-0.3364,0.3364,negative,3.0
S2,Primary Care Benefits Schedule,G4,Consumer access pathway game,hospital_pressure,scope_flexibility,-0.1834,0.1834,negative,4.0
S2,Primary Care Benefits Schedule,G4,Consumer access pathway game,hospital_pressure,telehealth_integration,-0.1606,0.1606,negative,5.0
S2,Primary Care Benefits Schedule,G5,PHO intermediation game,hospital_pressure,direct_claiming,-0.8836,0.8836,negative,1.0
S2,Primary Care Benefits Schedule,G5,PHO intermediation game,hospital_pressure,pho_transaction_cost,0.3418,0.3418,positive,2.0
S2,Primary Care Benefits Schedule,G5,PHO intermediation game,hospital_pressure,marginal_contact_benefit,-0.2888,0.2888,negative,3.0
S2,Primary Care Benefits Schedule,G5,PHO intermediation game,hospital_pressure,equity_program_strength,-0.1665,0.1665,negative,4.0
S2,Primary Care Benefits Schedule,G5,PHO intermediation game,hospital_pressure,data_observability,-0.0737,0.0737,negative,5.0
S2,Primary Care Benefits Schedule,G6,ACC/Health NZ cross-funder game,hospital_pressure,acc_constraint,0.7753,0.7753,positive,1.0
S2,Primary Care Benefits Schedule,G6,ACC/Health NZ cross-funder game,hospital_pressure,marginal_contact_benefit,-0.4285,0.4285,negative,2.0
S2,Primary Care Benefits Schedule,G6,ACC/Health NZ cross-funder game,hospital_pressure,acc_activity_funding,-0.3536,0.3536,negative,3.0
S2,Primary Care Benefits Schedule,G6,ACC/Health NZ cross-funder game,hospital_pressure,data_observability,-0.2045,0.2045,negative,4.0
S2,Primary Care Benefits Schedule,G6,ACC/Health NZ cross-funder game,hospital_pressure,ambulance_alternative_funding,-0.193,0.193,negative,5.0
S2,Primary Care Benefits Schedule,G7,Ambulance conveyance game,hospital_pressure,ambulance_alternative_funding,-0.9017,0.9017,negative,1.0
S2,Primary Care Benefits Schedule,G7,Ambulance conveyance game,hospital_pressure,safety_governance,-0.3681,0.3681,negative,2.0
S2,Primary Care Benefits Schedule,G7,Ambulance conveyance game,hospital_pressure,ambulance_kpi_salience,-0.2608,0.2608,negative,3.0
S2,Primary Care Benefits Schedule,G7,Ambulance conveyance game,hospital_pressure,data_observability,-0.1341,0.1341,negative,4.0
S2,Primary Care Benefits Schedule,G7,Ambulance conveyance game,hospital_pressure,local_inperson_loading,-0.0552,0.0552,negative,5.0
S2,Primary Care Benefits Schedule,G8,Scope-of-practice supply game,hospital_pressure,scope_flexibility,-0.7218,0.7218,negative,1.0
S2,Primary Care Benefits Schedule,G8,Scope-of-practice supply game,hospital_pressure,safety_governance,-0.5855,0.5855,negative,2.0
S2,Primary Care Benefits Schedule,G8,Scope-of-practice supply game,hospital_pressure,marginal_contact_benefit,-0.3501,0.3501,negative,3.0
S2,Primary Care Benefits Schedule,G8,Scope-of-practice supply game,hospital_pressure,stakeholder_alignment,-0.0579,0.0579,negative,4.0
S2,Primary Care Benefits Schedule,G8,Scope-of-practice supply game,hospital_pressure,budget_tightness,-0.0488,0.0488,negative,5.0
S2,Primary Care Benefits Schedule,G9,Telehealth/local-supply game,hospital_pressure,telehealth_integration,-0.7507,0.7507,negative,1.0
S2,Primary Care Benefits Schedule,G9,Telehealth/local-supply game,hospital_pressure,local_inperson_loading,-0.434,0.434,negative,2.0
S2,Primary Care Benefits Schedule,G9,Telehealth/local-supply game,hospital_pressure,marginal_contact_benefit,-0.3802,0.3802,negative,3.0
S2,Primary Care Benefits Schedule,G9,Telehealth/local-supply game,hospital_pressure,data_observability,-0.2528,0.2528,negative,4.0
S2,Primary Care Benefits Schedule,G9,Telehealth/local-supply game,hospital_pressure,scope_flexibility,-0.1116,0.1116,negative,5.0
S3,Full upstream access architecture,G1,Hospital-salience budget game,hospital_pressure,marginal_contact_benefit,-0.6547,0.6547,negative,1.0
S3,Full upstream access architecture,G1,Hospital-salience budget game,hospital_pressure,hospital_political_penalty,0.5518,0.5518,positive,2.0
S3,Full upstream access architecture,G1,Hospital-salience budget game,hospital_pressure,primary_kpi_salience,-0.428,0.428,negative,3.0
S3,Full upstream access architecture,G1,Hospital-salience budget game,hospital_pressure,data_observability,-0.2386,0.2386,negative,4.0
S3,Full upstream access architecture,G1,Hospital-salience budget game,hospital_pressure,ambulance_kpi_salience,-0.2223,0.2223,negative,5.0
S3,Full upstream access architecture,G10,Co-payment calibration game,hospital_pressure,copayment_level,0.6314,0.6314,positive,1.0
S3,Full upstream access architecture,G10,Co-payment calibration game,hospital_pressure,marginal_contact_benefit,-0.6145,0.6145,negative,2.0
S3,Full upstream access architecture,G10,Co-payment calibration game,hospital_pressure,copayment_protections,-0.4524,0.4524,negative,3.0
S3,Full upstream access architecture,G10,Co-payment calibration game,hospital_pressure,budget_tightness,0.08,0.08,positive,4.0
S3,Full upstream access architecture,G10,Co-payment calibration game,hospital_pressure,telehealth_scale,-0.0565,0.0565,negative,5.0
S3,Full upstream access architecture,G11,KPI salience game,hospital_pressure,primary_kpi_salience,-0.6907,0.6907,negative,1.0
S3,Full upstream access architecture,G11,KPI salience game,hospital_pressure,marginal_contact_benefit,-0.5185,0.5185,negative,2.0
S3,Full upstream access architecture,G11,KPI salience game,hospital_pressure,ambulance_kpi_salience,-0.4188,0.4188,negative,3.0
S3,Full upstream access architecture,G11,KPI salience game,hospital_pressure,gaming_controls,-0.2174,0.2174,negative,4.0
S3,Full upstream access architecture,G11,KPI salience game,hospital_pressure,data_observability,-0.1458,0.1458,negative,5.0
