base_scenario_id,parameter,domain,direction,baseline_value,perturbed_value,hybrid_viability_change,hospital_pressure_change,access_change,fiscal_risk_change,abs_viability_change
F4,data_observability_ambulance,data,up,0.78,0.86,0.08798335999999907,-0.2225439999999912,0.11999999999998678,-0.0709919999999975,0.08798335999999907
F4,deprivation_demand_modifier,demand/equity,up,0.55,0.63,-0.08682854400000606,0.32549760000000205,-0.14399999999999968,0.06583680000000203,0.08682854400000606
F4,chronic_need_index,demand,up,0.55,0.63,-0.08682854400000606,0.32549760000000205,-0.14399999999999968,0.06583680000000203,0.08682854400000606
F4,rurality_demand_modifier,demand/equity,up,0.45,0.53,-0.08682854400000606,0.32549760000000205,-0.14399999999999968,0.06583680000000203,0.08682854400000606
F4,chronic_need_index,demand,down,0.55,0.47000000000000003,0.08682854399999496,-0.32549760000000205,0.14399999999999968,-0.06583680000000203,0.08682854399999496
F4,deprivation_demand_modifier,demand/equity,down,0.55,0.47000000000000003,0.08682854399999496,-0.32549760000000205,0.14399999999999968,-0.06583680000000203,0.08682854399999496
F4,rurality_demand_modifier,demand/equity,down,0.45,0.37,0.08682854399999496,-0.32549760000000205,0.14399999999999968,-0.06583680000000203,0.08682854399999496
F4,multimorbidity_demand_modifier,demand/equity,up,0.55,0.63,-0.07718092799999798,0.2893312000000092,-0.1280000000000059,0.05852159999999995,0.07718092799999798
F4,multimorbidity_demand_modifier,demand/equity,down,0.55,0.47000000000000003,0.07718092799999798,-0.2893311999999981,0.12799999999999478,-0.05852159999999995,0.07718092799999798
F4,scope_substitution_rate,supply/scope,down,0.62,0.54,-0.07201525759999994,0.05749503999999961,-0.10559999999999459,0.02518271999999988,0.07201525759999994
F4,scope_substitution_rate,supply/scope,up,0.62,0.7,0.07201525759999994,-0.05749504000001071,0.10559999999999459,-0.02518271999999988,0.07201525759999994
F4,hospital_cost_per_event_index,cost,up,0.82,0.8999999999999999,-0.06399999999999739,0.0,0.0,0.8000000000000007,0.06399999999999739
